[22:56:07] [LOAD] Indice: /workspace/indices/msmarco_complete_tasb_ivf_flat
[22:56:33] [QualT5] @quantiles fallita (Expected sha256 'e0c1427e663bb018791947ab0b473ebe6eef41f18f0172ce6071fada1059bf75' but found 'a9b66b47d495170eebb66ce3a1b058243c7b1fa2163e63dec950d06841dedc63'). Fallback RAW).
[22:56:52] [QualT5] RAW → percentili [0,1] nel sample.
[22:57:00] [LOAD] Dataset & Query Cache...
[22:57:00] [GRID] Start: 12 combinazioni (Shares: [0.2, 0.3, 0.4, 0.5], Margins: [0.0, 0.5, 1])
[22:57:00] --- [GRID] Computing Masks for High Share 0.20 ---
[22:57:01]   > Run: Share=0.20, Margin=0.0000
[23:16:08]     -> nDCG@10: 0.2063 | Time: 164.2ms | Rate: 0.0%
[23:16:08]   > Run: Share=0.20, Margin=0.5000
[00:03:54]     -> nDCG@10: 0.2809 | Time: 410.4ms | Rate: 42.3%
[00:03:54]   > Run: Share=0.20, Margin=1.0000
[01:04:25]     -> nDCG@10: 0.3215 | Time: 520.0ms | Rate: 63.0%
[01:04:25] --- [GRID] Computing Masks for High Share 0.30 ---
[01:04:27]   > Run: Share=0.30, Margin=0.0000
[01:32:27]     -> nDCG@10: 0.2605 | Time: 240.4ms | Rate: 0.0%
[01:32:27]   > Run: Share=0.30, Margin=0.5000
[02:26:44]     -> nDCG@10: 0.3165 | Time: 466.4ms | Rate: 44.6%
[02:26:44]   > Run: Share=0.30, Margin=1.0000
