name,ndcg_cut_10,recip_rank,map,P_10,recall_10,high_share,margin,avg_time_ms_per_query,low_activation_rate,low_calls,rank_ndcg,rank_mrr,rank_map,rank_speed,score_global
"            qid    docno  rank       score
0       1005595   537603     1  108.652023
1       1005595  2337908     2  108.534851
2       1005595  5525088     3  108.459747
3       1005595  5525085     4  108.393066
4       1005595     1404     5  107.751068
...         ...      ...   ...         ...
697995   994941  3075982    96  103.965263
697996   994941  6643527    97  103.959358
697997   994941  7594788    98  103.945511
697998   994941  2960723    99  103.862900
697999   994941  1674159   100  103.856445

[698000 rows x 4 columns]",0.3591188551998529,0.3179512100845047,0.3127487645202323,0.055429799426936675,0.5308739255014326,0.5,1.0,12.268038618779958,67.9512893982808,4743,1.0,1.0,1.0,12.0,4.3
"            qid    docno  rank       score
0       1051990  5830477     1  103.991119
1       1051990  5830474     2  103.257607
2       1051990  3005654     3  102.812653
3       1051990  8676231     4  102.734467
4       1051990  2743412     5  102.473785
...         ...      ...   ...         ...
697995   994941  3075982    96  103.965263
697996   994941  6643527    97  103.959358
697997   994941  7594788    98  103.945511
697998   994941  2960723    99  103.862900
697999   994941  1674159   100  103.856445

[698000 rows x 4 columns]",0.3458232199985388,0.30710986498380105,0.3014763555917908,0.05320916905444336,0.5095510983763132,0.4,1.0,11.745788552865044,66.63323782234957,4651,2.0,2.0,2.0,11.0,4.7
"            qid    docno  rank       score
0       1054071  7909423     1  102.033066
1       1054071  5566175     2   99.675766
2       1054071  3525651     3   99.640884
3       1054071  7596623     4   99.348228
4       1054071  2251151     5   98.907089
...         ...      ...   ...         ...
697995   959589  2551532    96  105.427460
697996   959589  5388796    97  105.408401
697997   959589  1777006    98  105.405685
697998   959589  7979357    99  105.395111
697999   959589  4654924   100  105.356384

[698000 rows x 4 columns]",0.34428446754320774,0.30656391002158784,0.3010158596952653,0.05260744985673551,0.5031279847182425,0.5,0.5,10.600423822939971,46.66189111747851,3257,3.0,3.0,3.0,9.0,4.800000000000001
"            qid    docno  rank       score
0       1096644  2355902     1  104.137314
1       1096644  7482851     2  100.638283
2       1096644  7489925     3  100.502907
3       1096644  4509383     4   99.282829
4       1096644  3005535     5   99.191757
...         ...      ...   ...         ...
697995  1048565  7132964    96   96.200699
697996  1048565  1041916    97   96.193581
697997  1048565  8740366    98   96.139130
697998  1048565  3844177    99   96.131622
697999  1048565  1778192   100   96.120361

[698000 rows x 4 columns]",0.31708867471945956,0.28342230923665734,0.2775179990693776,0.04770773638968574,0.45696036294173825,0.5,0.0,7.1911468677607,0.0,0,6.0,6.0,6.0,4.0,5.400000000000001
"            qid    docno  rank       score
0       1054071  7909423     1  102.033066
1       1054071  1576272     2  100.522079
2       1054071  5566175     3   99.675766
3       1054071  3525651     4   99.640884
4       1054071  7596623     5   99.348228
...         ...      ...   ...         ...
697995   959589  2551532    96  105.427460
697996   959589  5388796    97  105.408401
697997   959589  1777006    98  105.405685
697998   959589  7979357    99  105.395111
697999   959589  4654924   100  105.356384

[698000 rows x 4 columns]",0.32560466271116956,0.2908543319507105,0.2849178604606209,0.049498567335244846,0.4735673352435529,0.4,0.5,9.685114133945616,45.616045845272204,3184,5.0,5.0,5.0,7.0,5.6
"            qid    docno  rank       score
0       1004258  1195717     1  109.346481
1       1004258  1091350     2  109.247971
2       1004258  1678078     3  109.102287
3       1004258  2395858     4  109.062103
4       1004258  1306851     5  108.996544
...         ...      ...   ...         ...
697995   994941  3075982    96  103.965263
697996   994941  6643527    97  103.959358
697997   994941  7594788    98  103.945511
697998   994941  2960723    99  103.862900
697999   994941  1674159   100  103.856445

[698000 rows x 4 columns]",0.3266959246912232,0.29185030826465463,0.28622375693324353,0.04977077363896982,0.4768147086914995,0.3,1.0,10.75574129927946,64.87106017191977,4528,4.0,4.0,4.0,10.0,5.800000000000001
"            qid    docno  rank       score
0         16860  7936559     1  102.315781
1         16860  1543764     2   98.985268
2         16860  6347106     3   98.157509
3         16860  6347110     4   98.067062
4         16860  8818387     5   97.925018
...         ...      ...   ...         ...
697995  1048565  4026784    96   96.021400
697996  1048565  1707477    97   96.019310
697997  1048565  8239256    98   96.014694
697998  1048565  2551463    99   96.005486
697999  1048565  1021330   100   96.004288

[698000 rows x 4 columns]",0.28869418729804924,0.25995305017403436,0.25390343101703355,0.042707736389684677,0.408966093600764,0.4,0.0,5.931777178068354,0.0,0,9.0,9.0,9.0,3.0,7.200000000000001
"            qid    docno  rank       score
0       1004258  1195717     1  109.346481
1       1004258  1091350     2  109.247971
2       1004258  1678078     3  109.102287
3       1004258  2395858     4  109.062103
4       1004258  1306851     5  108.996544
...         ...      ...   ...         ...
697995   959589  2551532    96  105.427460
697996   959589  5388796    97  105.408401
697997   959589  1777006    98  105.405685
697998   959589  7979357    99  105.395111
697999   959589  4654924   100  105.356384

[698000 rows x 4 columns]",0.3049495917471665,0.27403741663177955,0.26856010323936086,0.045945558739255564,0.4416427889207258,0.2,1.0,9.809828595389055,63.29512893982808,4418,7.0,7.0,7.0,8.0,7.300000000000001
"            qid    docno  rank       score
0       1005595   537603     1  108.652023
1       1005595  2337908     2  108.534851
2       1005595  5525088     3  108.459747
3       1005595  5525085     4  108.393066
4       1005595     1404     5  107.751068
...         ...      ...   ...         ...
697995   994941  3075982    96  103.965263
697996   994941  6643527    97  103.959358
697997   994941  7594788    98  103.945511
697998   994941  2960723    99  103.862900
697999   994941  1674159   100  103.856445

[698000 rows x 4 columns]",0.2989087863941654,0.2689105644232333,0.2630078160167869,0.04488538681948455,0.4292502387774593,0.3,0.5,8.812504217467593,44.297994269340975,3092,8.0,8.0,8.0,6.0,7.4
"            qid    docno  rank       score
0       1096644  7482851     1  100.638283
1       1096644  7489925     2  100.502907
2       1096644  4509383     3   99.282829
3       1096644  6462614     4   99.103279
4       1096644  7214221     5   98.871719
...         ...      ...   ...         ...
697995  1048565  2844304    96   95.757515
697996  1048565  8521469    97   95.752724
697997  1048565  2844860    98   95.745773
697998  1048565  7037746    99   95.745354
697999  1048565  3805719   100   95.741165

[698000 rows x 4 columns]",0.24485043119321645,0.22218919641397147,0.2167045553310029,0.03554441260744846,0.34003104106972304,0.3,0.0,4.672629928935511,0.0,0,11.0,11.0,11.0,2.0,8.3
"            qid    docno  rank       score
0       1051990  5830477     1  103.991119
1       1051990  5830474     2  103.257607
2       1051990  3005654     3  102.812653
3       1051990  8676231     4  102.734467
4       1051990  4895449     5  102.192703
...         ...      ...   ...         ...
697995   994941  3075982    96  103.965263
697996   994941  6643527    97  103.959358
697997   994941  7594788    98  103.945511
697998   994941  2960723    99  103.862900
697999   994941  1674159   100  103.856445

[698000 rows x 4 columns]",0.2644221143736926,0.23887861325536972,0.23327905101739732,0.03948424068767824,0.37762655205348605,0.2,0.5,7.843037497853983,42.34957020057307,2956,10.0,10.0,10.0,5.0,8.5
"            qid    docno  rank       score
0         16860  7936559     1  102.315781
1         16860  6347106     2   98.157509
2         16860  8818387     3   97.925018
3         16860  2451648     4   97.443123
4         16860  1801066     5   97.402802
...         ...      ...   ...         ...
697995  1048565  8655013    96   95.417961
697996  1048565  5832565    97   95.384644
697997  1048565  7939185    98   95.384224
697998  1048565  4061523    99   95.383217
697999  1048565  5774084   100   95.382599

[698000 rows x 4 columns]",0.1929983208981326,0.17731206971774566,0.17242011780841945,0.02726361031518532,0.2608166189111748,0.2,0.0,3.19769606231058,0.0,0,12.0,12.0,12.0,1.0,8.700000000000003
