[17:41:54] [LOAD] Indice: /workspace/indices/msmarco_complete_tasb_ivf_flat
[17:42:12] [QualT5] @quantiles fallita (Expected sha256 'e0c1427e663bb018791947ab0b473ebe6eef41f18f0172ce6071fada1059bf75' but found 'a9b66b47d495170eebb66ce3a1b058243c7b1fa2163e63dec950d06841dedc63'). Fallback RAW).
[17:42:31] [QualT5] RAW → percentili [0,1] nel sample.
[17:42:38] [LOAD] Dataset & Query Cache...
[17:42:39] [GRID] Start: 77 combinazioni (Shares: [0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8], Margins: [0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0])
[17:42:39] --- [GRID] Computing Masks for High Share 0.20 ---
[17:42:40]   > Run: Share=0.20, Margin=0.0000
[17:44:15]     -> nDCG@10: 0.3895 | Time: 13.5ms | Rate: 100.0% | RR@10: 0.3415 | MAP: 0.3363
[17:44:15]   > Run: Share=0.20, Margin=0.1000
[17:45:45]     -> nDCG@10: 0.3701 | Time: 12.8ms | Rate: 91.4% | RR@10: 0.3277 | MAP: 0.3220
[17:45:45]   > Run: Share=0.20, Margin=0.2000
[17:47:11]     -> nDCG@10: 0.3575 | Time: 12.2ms | Rate: 85.9% | RR@10: 0.3180 | MAP: 0.3125
[17:47:11]   > Run: Share=0.20, Margin=0.3000
[17:48:31]     -> nDCG@10: 0.3408 | Time: 11.4ms | Rate: 78.2% | RR@10: 0.3056 | MAP: 0.3001
[17:48:31]   > Run: Share=0.20, Margin=0.4000
[17:49:46]     -> nDCG@10: 0.3248 | Time: 10.6ms | Rate: 70.1% | RR@10: 0.2935 | MAP: 0.2878
[17:49:46]   > Run: Share=0.20, Margin=0.5000
[17:50:53]     -> nDCG@10: 0.3064 | Time: 9.6ms | Rate: 61.4% | RR@10: 0.2793 | MAP: 0.2735
[17:50:53]   > Run: Share=0.20, Margin=0.6000
[17:51:55]     -> nDCG@10: 0.2877 | Time: 8.7ms | Rate: 51.9% | RR@10: 0.2636 | MAP: 0.2579
[17:51:55]   > Run: Share=0.20, Margin=0.7000
[17:52:48]     -> nDCG@10: 0.2667 | Time: 7.5ms | Rate: 41.2% | RR@10: 0.2445 | MAP: 0.2389
