name,ndcg_cut_10,recip_rank,map,mode,high_share,margin,entropy_thr,avg_time_ms_per_query,low_activation_rate,rank_ndcg,rank_speed,score_global
"            qid    docno  rank       score
0       1004258  1195717     1  109.346481
1       1004258  1091350     2  109.247971
2       1004258  1678078     3  109.102287
3       1004258  2395858     4  109.062103
4       1004258  1306851     5  108.996544
...         ...      ...   ...         ...
697995   994941  3075982    96  103.965263
697996   994941  6643527    97  103.959358
697997   994941  7594788    98  103.945511
697998   994941  2960723    99  103.862900
697999   994941  1674159   100  103.856445

[698000 rows x 4 columns]",0.33731249620065634,0.30229485424136915,0.2962164365625421,entropy,0.5,,0.8,9.608925834370185,33.939828080229226,50.0,21.0,35.5
"            qid    docno  rank       score
0       1054071  7909423     1  102.033066
1       1054071  5566175     2   99.675766
2       1054071  3525651     3   99.640884
3       1054071  7596623     4   99.348228
4       1054071  2251151     5   98.907089
...         ...      ...   ...         ...
697995   994941  3075982    96  103.965263
697996   994941  6643527    97  103.959358
697997   994941  7594788    98  103.945511
697998   994941  2960723    99  103.862900
697999   994941  1674159   100  103.856445

[698000 rows x 4 columns]",0.3452731867986078,0.30968471313578655,0.30350779838625047,entropy,0.5,,0.7000000000000001,10.546999549183642,46.79083094555874,44.0,27.0,35.5
"            qid    docno  rank       score
0       1054071  7909423     1  102.033066
1       1054071  1576272     2  100.522079
2       1054071  5566175     3   99.675766
3       1054071  3525651     4   99.640884
4       1054071  7596623     5   99.348228
...         ...      ...   ...         ...
697995   994941  3075982    96  103.965263
697996   994941  6643527    97  103.959358
697997   994941  7594788    98  103.945511
697998   994941  2960723    99  103.862900
697999   994941  1674159   100  103.856445

[698000 rows x 4 columns]",0.3895125281493082,0.34152954960532345,0.3362837034559417,entropy,0.2,,0.0,13.80753872547843,100.0,3.0,69.0,36.0
"            qid    docno  rank       score
0       1004258  1091350     1  109.247971
1       1004258  1678078     2  109.102287
2       1004258  1306851     3  108.996544
3       1004258  3658661     4  108.766174
4       1004258  5197661     5  108.677910
...         ...      ...   ...         ...
697995   959589  2127757    96  104.526718
697996   959589  3334855    97  104.525177
697997   959589  3746969    98  104.491203
697998   959589  1680867    99  104.461884
697999   959589  4192291   100  104.430771

[698000 rows x 4 columns]",0.3251360962839239,0.2902365573549842,0.2844389118964932,margin,0.5,0.1,,8.104088199845272,13.53868194842407,58.0,14.0,36.0
"            qid    docno  rank       score
0       1005595   537603     1  108.652023
1       1005595  2337908     2  108.534851
2       1005595  5525088     3  108.459747
3       1005595  5525085     4  108.393066
4       1005595     1404     5  107.751068
...         ...      ...   ...         ...
697995   994941  3075982    96  103.965263
697996   994941  6643527    97  103.959358
697997   994941  7594788    98  103.945511
697998   994941  2960723    99  103.862900
697999   994941  1674159   100  103.856445

[698000 rows x 4 columns]",0.330961313081006,0.2950258768332169,0.28947933528873043,margin,0.5,0.2,,9.007955248264814,23.78223495702006,52.0,20.0,36.0
"            qid    docno  rank       score
0       1004258  1195717     1  109.346481
1       1004258  1091350     2  109.247971
2       1004258  1678078     3  109.102287
3       1004258  2395858     4  109.062103
4       1004258  1306851     5  108.996544
...         ...      ...   ...         ...
697995   994941  3075982    96  103.965263
697996   994941  6643527    97  103.959358
697997   994941  7594788    98  103.945511
697998   994941  2960723    99  103.862900
697999   994941  1674159   100  103.856445

[698000 rows x 4 columns]",0.32544244831339353,0.2909818839239764,0.2850665300693193,entropy,0.5,,0.9,8.344011916778982,17.00573065902579,57.0,15.0,36.0
"            qid    docno  rank       score
0       1004258  1195717     1  109.346481
1       1004258  1091350     2  109.247971
2       1004258  1678078     3  109.102287
3       1004258  2395858     4  109.062103
4       1004258  1306851     5  108.996544
...         ...      ...   ...         ...
697995   994941  3075982    96  103.965263
697996   994941  6643527    97  103.959358
697997   994941  7594788    98  103.945511
697998   994941  2960723    99  103.862900
697999   994941  1674159   100  103.856445

[698000 rows x 4 columns]",0.34428446754320785,0.30656391002158817,0.30101585969526534,margin,0.5,0.5,,10.655463365757875,46.66189111747851,45.0,28.0,36.5
"            qid    docno  rank       score
0       1051990  5830477     1  103.991119
1       1051990  5830474     2  103.257607
2       1051990  3005654     3  102.812653
3       1051990  8676231     4  102.734467
4       1051990  2743412     5  102.473785
...         ...      ...   ...         ...
697995   994941  3075982    96  103.965263
697996   994941  6643527    97  103.959358
697997   994941  7594788    98  103.945511
697998   994941  2960723    99  103.862900
697999   994941  1674159   100  103.856445

[698000 rows x 4 columns]",0.37795995792773524,0.33321400198372236,0.3277320623836844,margin,0.2,5.0,,13.277116174646853,94.64183381088826,16.0,59.0,37.5
"            qid    docno  rank       score
0       1005595   537603     1  108.652023
1       1005595  2337908     2  108.534851
2       1005595  5525088     3  108.459747
3       1005595  3686330     4  107.281494
4       1005595   537597     5  107.251572
...         ...      ...   ...         ...
697995   994941  3075982    96  103.965263
697996   994941  6643527    97  103.959358
697997   994941  7594788    98  103.945511
697998   994941  2960723    99  103.862900
697999   994941  1674159   100  103.856445

[698000 rows x 4 columns]",0.29810660789660737,0.2677568827711267,0.2618662115942903,margin,0.4,0.1,,7.000893842826536,12.908309455587391,68.0,8.0,38.0
"            qid    docno  rank       score
0       1005595   537603     1  108.652023
1       1005595  2337908     2  108.534851
2       1005595  5525088     3  108.459747
3       1005595  3686330     4  107.281494
4       1005595   537597     5  107.251572
...         ...      ...   ...         ...
697995   994941  3075982    96  103.965263
697996   994941  6643527    97  103.959358
697997   994941  7594788    98  103.945511
697998   994941  2960723    99  103.862900
697999   994941  1674159   100  103.856445

[698000 rows x 4 columns]",0.2986265412059566,0.26907522920301846,0.26290401276776126,entropy,0.4,,0.9,7.31400677034989,15.859598853868196,67.0,9.0,38.0
"            qid    docno  rank       score
0       1005595   537603     1  108.652023
1       1005595  2337908     2  108.534851
2       1005595  5525088     3  108.459747
3       1005595  5525085     4  108.393066
4       1005595     1404     5  107.751068
...         ...      ...   ...         ...
697995   994941  3075982    96  103.965263
697996   994941  6643527    97  103.959358
697997   994941  7594788    98  103.945511
697998   994941  2960723    99  103.862900
697999   994941  1674159   100  103.856445

[698000 rows x 4 columns]",0.3071846733024157,0.2750937127552211,0.26930188321987397,margin,0.4,0.2,,7.89040556994072,23.22349570200573,63.0,13.0,38.0
"            qid    docno  rank       score
0       1004258  1195717     1  109.346481
1       1004258  1091350     2  109.247971
2       1004258  1678078     3  109.102287
3       1004258  2395858     4  109.062103
4       1004258  1306851     5  108.996544
...         ...      ...   ...         ...
697995   994941  3075982    96  103.965263
697996   994941  6643527    97  103.959358
697997   994941  7594788    98  103.945511
697998   994941  2960723    99  103.862900
697999   994941  1674159   100  103.856445

[698000 rows x 4 columns]",0.35050363071717344,0.31356614239336067,0.3074135394659446,entropy,0.5,,0.6000000000000001,11.411119129823621,57.26361031518624,41.0,35.0,38.0
"            qid    docno  rank       score
0       1004258  1195717     1  109.346481
1       1004258  1091350     2  109.247971
2       1004258  1678078     3  109.102287
3       1004258  2395858     4  109.062103
4       1004258  1306851     5  108.996544
...         ...      ...   ...         ...
697995   994941  3075982    96  103.965263
697996   994941  6643527    97  103.959358
697997   994941  7594788    98  103.945511
697998   994941  2960723    99  103.862900
697999   994941  1674159   100  103.856445

[698000 rows x 4 columns]",0.3676285614131083,0.3256775785546446,0.3201053777590542,margin,0.2,3.5,,12.77123404757512,90.243553008596,26.0,50.0,38.0
"            qid    docno  rank       score
0       1004258  1195717     1  109.346481
1       1004258  1091350     2  109.247971
2       1004258  1678078     3  109.102287
3       1004258  2395858     4  109.062103
4       1004258  1306851     5  108.996544
...         ...      ...   ...         ...
697995   994941  3075982    96  103.965263
697996   994941  6643527    97  103.959358
697997   994941  7594788    98  103.945511
697998   994941  2960723    99  103.862900
697999   994941  1674159   100  103.856445

[698000 rows x 4 columns]",0.3589175048157369,0.32004381239882107,0.31403737548324706,entropy,0.5,,0.5,12.179591467958957,66.89111747851003,35.0,42.0,38.5
"            qid    docno  rank       score
0       1054071  7909423     1  102.033066
1       1054071  1576272     2  100.522079
2       1054071  5566175     3   99.675766
3       1054071  3525651     4   99.640884
4       1054071  7596623     5   99.348228
...         ...      ...   ...         ...
697995   994941  3075982    96  103.965263
697996   994941  6643527    97  103.959358
697997   994941  7594788    98  103.945511
697998   994941  2960723    99  103.862900
697999   994941  1674159   100  103.856445

[698000 rows x 4 columns]",0.38951252814930837,0.3415295496053232,0.3362837034559415,entropy,0.3,,0.0,14.13382212751489,100.0,1.0,76.0,38.5
"            qid    docno  rank       score
0       1054071  7909423     1  102.033066
1       1054071  5566175     2   99.675766
2       1054071  3525651     3   99.640884
3       1054071  7596623     4   99.348228
4       1054071  2251151     5   98.907089
...         ...      ...   ...         ...
697995   994941  3075982    96  103.965263
697996   994941  6643527    97  103.959358
697997   994941  7594788    98  103.945511
697998   994941  2960723    99  103.862900
697999   994941  1674159   100  103.856445

[698000 rows x 4 columns]",0.359118855199853,0.317951210084505,0.31274876452023265,margin,0.5,1.0,,12.282248706967813,67.9512893982808,33.0,44.0,38.5
