method,time_ms,ndcg10,mrr,family,split
HighOnly (20%),164.4,0.2063,0.1889,HighOnly,20.0
HighOnly (30%),240.7,0.2605,0.2357,HighOnly,30.0
HighOnly (40%),309.3,0.3061,0.2746,HighOnly,40.0
HighOnly (50%),381.2,0.3368,0.2996,HighOnly,50.0
"TwoTier (margin=0.5, 20%)",412.9,0.2809,0.253,TwoTier m=0.5,20.0
"TwoTier (margin=0.5, 30%)",478.1,0.3165,0.2835,TwoTier m=0.5,30.0
"TwoTier (margin=0.5, 40%)",529.3,0.3448,0.3067,TwoTier m=0.5,40.0
"TwoTier (margin=0.5, 50%)",576.8,0.3641,0.3226,TwoTier m=0.5,50.0
"TwoTier (margin=1.0, 20%)",519.9,0.3215,0.2879,TwoTier m=1.0,20.0
"TwoTier (margin=1.0, 30%)",591.8,0.3459,0.3078,TwoTier m=1.0,30.0
"TwoTier (margin=1.0, 40%)",617.1,0.3656,0.3233,TwoTier m=1.0,40.0
"TwoTier (margin=1.0, 50%)",665.2,0.3788,0.3337,TwoTier m=1.0,50.0
Complete Index (Baseline),593.7,0.4104,0.3584,Baseline,
